timestamp,sequence,uptime_ms,aht20_temp_c,aht20_humidity_pct,dht22_temp_c,dht22_humidity_pct,bmp280_temp_c,bmp280_pressure_hpa,aht_valid,dht_valid,bmp_valid,state,temp_difference_c,humidity_difference_pct
2026-07-20T17:00:00Z,1,0,5.100,48.000,4.750,46.800,5.900,1012.4,true,true,true,IN_RANGE,0.350,1.200
2026-07-20T17:01:00Z,2,60000,5.138,48.252,4.822,47.052,5.938,1012.4,true,true,true,IN_RANGE,0.316,1.200
2026-07-20T17:02:00Z,3,120000,5.167,48.273,4.854,47.073,5.967,1012.4,true,true,true,IN_RANGE,0.314,1.200
2026-07-20T17:03:00Z,4,180000,5.180,48.042,4.835,46.842,5.980,1012.4,true,true,true,IN_RANGE,0.344,1.200
2026-07-20T17:04:00Z,5,240000,5.173,47.773,4.792,46.573,5.973,1012.4,true,true,true,IN_RANGE,0.380,1.200
2026-07-20T17:05:00Z,6,300000,5.948,52.712,5.560,51.512,6.748,1012.4,true,true,true,IN_RANGE,0.388,1.200
2026-07-20T17:06:00Z,7,360000,6.911,52.916,6.550,51.716,7.711,1012.4,true,true,true,IN_RANGE,0.361,1.200
2026-07-20T17:07:00Z,8,420000,5.972,53.197,5.648,51.997,6.772,1012.4,true,true,true,IN_RANGE,0.324,1.200
2026-07-20T17:08:00Z,9,480000,5.039,48.297,4.729,47.097,5.839,1012.4,true,true,true,IN_RANGE,0.310,1.200
2026-07-20T17:09:00Z,10,540000,5.022,48.124,4.688,46.924,5.822,1012.4,true,true,true,IN_RANGE,0.334,1.200
2026-07-20T17:10:00Z,11,600000,5.023,47.837,4.652,46.637,5.823,1012.4,true,true,true,IN_RANGE,0.372,1.200
2026-07-20T17:11:00Z,12,660000,5.044,47.700,4.654,46.500,5.844,1012.4,true,true,true,IN_RANGE,0.390,1.200
2026-07-20T17:12:00Z,13,720000,5.078,47.839,4.706,46.639,5.878,1012.4,true,true,true,IN_RANGE,0.371,1.200
2026-07-20T17:13:00Z,14,780000,5.117,48.126,4.784,46.926,5.917,1012.4,true,true,true,IN_RANGE,0.333,1.200
2026-07-20T17:14:00Z,15,840000,5.153,48.297,4.842,47.097,5.953,1012.4,true,true,true,IN_RANGE,0.310,1.200
2026-07-20T17:15:00Z,16,900000,5.175,48.195,4.851,46.995,5.975,1012.4,true,true,true,IN_RANGE,0.324,1.200
2026-07-20T17:16:00Z,17,960000,5.179,47.914,4.818,46.714,5.979,1012.4,true,true,true,IN_RANGE,0.362,1.200
2026-07-20T17:17:00Z,18,1020000,5.164,47.712,4.775,46.512,5.964,1012.4,true,true,true,IN_RANGE,0.388,1.200
2026-07-20T17:18:00Z,19,1080000,5.133,47.775,4.753,46.575,5.933,1012.4,true,true,true,IN_RANGE,0.380,1.200
2026-07-20T17:19:00Z,20,1140000,5.094,48.045,4.750,46.845,5.894,1012.4,true,true,true,IN_RANGE,0.344,1.200
2026-07-20T17:20:00Z,21,1200000,5.056,48.274,4.743,47.074,5.856,1012.4,true,true,true,IN_RANGE,0.313,1.200
